Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Product_Category,Profit,Quantity,Mode_of_Sale,Mode_of_Payment
Mutare,2025-01-28,166381.87,1,16.2,3.72,138.79,3.5,nan,560.86,1,In-Store,
Mbeya,2024-04-05,187928.14,1,11.9,1.09,107.19,12.2,Furniture,1371.46,7,nan,Card Payment
Chimoio,2022-05-28,unknown,1,15.1,3.88,103.33,7.7,Beverages,24.5,7,nan,
Gaborone,2021-07-15,,0,17.0,1.63,176.58,21.9,Furniture,-327.31,10,In-Store,Mobile Transfer
Nakuru,2022-08-05,34014.6,1,29.0,1.29,179.93,19.0,Furniture,1092.58,1,In-Store,Card Payment
Kabwe,2023-05-20,72498.82,0,30.9,2.84,144.09,23.1,Groceries,,3,In-Store,Card Payment
Kampala,2024-11-28,31650.76,1,31.8,2.81,80.04,6.2,Beverages,396.16,10,Online,Card Payment
Maseru,2020-09-21,108929.04,1,24.1,1.61,153.62,12.8,nan,-295.11,6,Online,Card Payment
Lindi,,67653.43,0,29.5,,101.59,24.0,Groceries,-415.35,4,In-Store,Card Payment
Nampula,2022-04-27,95799.03,1,19.2,2.53,185.72,13.7,Beverages,-374.88,,In-Store,Cash
Livingstone,2020-11-25,,1,39.1,1.62,107.23,17.3,Furniture,378.23,9,In-Store,Cash
Bujumbura,2021-07-09,50977.99,1,39.4,4.0,88.42,19.9,Clothing,-30.37,10,In-Store,Cash
Lilongwe,2025-05-11,64679.68,1,39.2,,150.79,12.6,nan,423.85,,In-Store,Card Payment
Kabwe,2020-08-10,189497.14,1,37.2,3.77,128.81,6.2,Groceries,476.98,6,In-Store,Mobile Transfer
Kigali,2024-08-15,178074.01,1,15.6,,85.15,4.0,Clothing,416.19,1,In-Store,Mobile Transfer
Lilongwe,2021-07-06,180864.92,0,28.4,4.95,110.41,24.4,nan,739.84,6,In-Store,Card Payment
Kampala,2020-11-20,175416.99,0,23.6,1.75,150.22,7.2,Electronics,858.81,2,nan,Card Payment
Dar_es_Salaam,2024-09-29,113342.18,0,32.0,1.46,176.47,19.9,Furniture,291.89,7,Online,
Mombasa,2025-06-07,132828.51,0,38.5,1.42,151.48,11.5,Beverages,174.06,2,In-Store,Cash
Dar_es_Salaam,2021-02-04,169528.79,1,17.2,4.71,112.76,17.0,Groceries,236.8,2,In-Store,Mobile Transfer
Gweru,2022-07-19,47657.88,,26.4,1.31,134.04,16.2,Clothing,-359.64,8,Online,Mobile Transfer
Chipata,2024-04-07,122835.67,1,30.9,4.96,,12.2,nan,143.26,8,In-Store,Mobile Transfer
Beira,2022-12-11,170400.31,0,,3.8,118.51,8.5,Clothing,-100.17,5,In-Store,Cash
,2021-05-22,148735.02,0,17.7,2.19,,5.4,Furniture,81.68,6,Online,Mobile Transfer
Eldoret,2023-08-01,,0,26.9,1.41,120.49,2.1,Clothing,928.79,7,In-Store,Card Payment
Gaborone,2024-03-30,unknown,1,30.6,1.2,133.31,9.2,nan,1477.08,9,In-Store,Mobile Transfer
Chimoio,2023-05-20,105164.14,1,25.2,3.82,119.28,11.6,nan,1347.11,7,In-Store,Card Payment
Tete,2020-09-26,89881.91,1,12.8,1.5,185.31,14.8,Groceries,1143.25,9,In-Store,Card Payment
Ndola,2020-12-28,97809.62,1,31.7,1.46,163.97,20.5,Furniture,974.39,5,In-Store,
Nakuru,2024-01-17,173966.89,0,28.3,2.15,82.33,7.6,Beverages,1389.88,1,In-Store,Card Payment
Bujumbura,2022-12-05,198837.8,1,18.8,4.31,192.29,15.2,Beverages,1004.08,4,In-Store,Mobile Transfer
,2024-05-11,7844.21,1,37.2,1.15,189.86,10.7,Electronics,441.91,7,In-Store,Cash
Juba,2023-12-07,74970.09,1,19.6,4.27,,24.4,Clothing,702.72,2,In-Store,
Nairobi,2023-07-03,129043.0,0,24.6,1.96,155.93,11.0,Electronics,111.57,9,In-Store,Card Payment
Harare,2024-10-16,162287.95,1,22.3,2.52,167.37,15.5,Beverages,-493.38,,Online,Card Payment
Kitwe,2021-05-26,51642.56,0,23.6,1.81,191.74,8.1,nan,207.23,1,Online,
Kigali,2024-04-24,186027.94,0,31.9,3.24,171.93,9.1,Furniture,309.66,5,In-Store,Cash
Arusha,2022-01-31,183442.77,0,28.8,3.56,112.52,19.0,Clothing,966.18,2,In-Store,Card Payment
Mutare,,8136.84,0,unknown,,101.5,23.7,Groceries,1218.44,,In-Store,Mobile Transfer
